ID,名称,年代,规格,简介,图片url
328,无标题,无年代,无尺寸,无简介,无图片
329,无标题,无年代,无尺寸,无简介,无图片
330,无标题,无年代,无尺寸,无简介,无图片
331,无标题,无年代,无尺寸,无简介,无图片
332,清黑漆嵌瓷花卉木挂屏,清,长106，宽63，高2.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：494-A-01.jpg
333,清漆地雕人物花鸟木挂屏,清,长79，宽47，高2.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：495／1-4-A-01.jpg
334,无标题,无年代,无尺寸,无简介,无图片
335,无标题,无年代,无尺寸,无简介,无图片
336,唐至五代十国无款说一切有部式经写经卷,唐至五代十国,纵26，横471 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：740-E-6.JPG
337,无标题,无年代,无尺寸,无简介,无图片
338,无标题,无年代,无尺寸,无简介,无图片
339,无标题,无年代,无尺寸,无简介,无图片
340,无标题,无年代,无尺寸,无简介,无图片
341,无标题,无年代,无尺寸,无简介,无图片
342,明唐寅看泉听风图轴,明,纵72.5，横34.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：1554-A-1.JPG
343,明文徵明行书家书册,明,纵25.3，横12.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：1557-D-1.JPG
344,无标题,无年代,无尺寸,无简介,无图片
345,明初黄道周草书字轴,明初,纵148，横49.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：2383-A-1.JPG
346,无标题,无年代,无尺寸,无简介,无图片
347,清纺纱木摇车,清,长105，宽55，高110 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：2557-C-01.jpg
348,清纺纱木摇车,清,长92.5，宽52.4，高111 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：2558-C-01.jpg
349,清木船模型,清,纵134，横18，高14 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：2559-A-01.jpg
350,清木插屏架,清,纵31，横52，高90 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/09/30\7：2560-A-01.jpg
351,无标题,无年代,无尺寸,无简介,无图片
352,无标题,无年代,无尺寸,无简介,无图片
353,无标题,无年代,无尺寸,无简介,无图片
354,明无款刘伯渊肖像图册页,明,纵45.4，横26.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7：2676-E-1.png
355,无标题,无年代,无尺寸,无简介,无图片
356,明无款李太僕肖像图册页,明,纵45.4，横26.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7：2678-E-1.png
357,明无款徐惺勿肖像图册页,明,纵45.4，横26.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7：2679-E-1.png
358,无标题,无年代,无尺寸,无简介,无图片
359,无标题,无年代,无尺寸,无简介,无图片
360,明无款王以寗肖像图册页,明,纵45.4，横26.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7：2682-E-1.png
361,无标题,无年代,无尺寸,无简介,无图片
362,明无款葛寅亮肖像图册页,明,纵45.4，横26.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/24/32000001-7：2684-E-1.png
363,无标题,无年代,无尺寸,无简介,无图片
364,明赵龙朱竹图轴,明,纵337.2，横96 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：2931-A-1.JPG
365,明傅青主草书轴,明,纵202.2，横44 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：2971-A-1.JPG
366,清虞蟾丹枫绝壁图轴,清,纵132，横104.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：2990-A-1.JPG
367,明郁勋授芝图卷,明,纵30.5，横89 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3082-E-1.JPG
368,清张崟春流出峡图轴,清,纵146，横64.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3092-A-1.JPG
369,无标题,无年代,无尺寸,无简介,无图片
370,明杨补山水图轴,明,纵223，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3134-A-1.JPG
371,明杨补山水图轴,明,纵223.7，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3135-A-1.JPG
372,明杨补山水图轴,明,纵223，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3136-A-1.JPG
373,明杨补山水图轴,明,纵223，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3137-A-1.JPG
374,明杨补山水图轴,明,纵222.3，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3138-A-1.JPG
375,明杨补山水图轴,明,纵223，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3139-A-1.JPG
376,明杨补山水图轴,明,纵223，横48.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3140-A-1.JPG
377,明徐枋行书轴,明,纵222.5，横48.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3141-A-1.JPG
378,清朱耷山水图册,清,纵40—41，横16—19.1 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3160／1—13-D-1.JPG
379,清陆日为山水图轴,清,纵61.2，横50.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3170-A-1.JPG
380,无标题,无年代,无尺寸,无简介,无图片
381,明夏昶满林春雨图轴,明,纵178，横66.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3263-A-1.JPG
382,清朱耷篆书册,清,纵17.2，横8.7 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3272／1—8-D-1.JPG
383,明邢侗信扎册,明,纵20.7—27.5，横8.4—13 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3522-D-1.JPG
384,清华喦钟馗嫁妹图轴,清,纵135.8，横70 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3528-A-1.JPG
385,清樊圻吴宏寇白门像轴,清（顺治八年，1651年）,纵79.2，横60.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3530-A-1.JPG
386,无标题,无年代,无尺寸,无简介,无图片
387,明吴彬丛嶂层峦图轴,明,纵224.4，横50.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3691-A-1.JPG
388,明朱谋䳬山水图轴,明,纵136.5，横45.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3692-A-1.JPG
389,明关思松风斜照图轴,明,纵158.8，横60 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3693-A-1.JPG
390,清郑燮隶书唐人绝句轴,清,纵150.3，横46.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3705-A-1.JPG
391,明张路鹰兔雪景图轴,明,纵158.3，横97.3 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：3844-A-1.JPG
392,清黄慎洗砚图轴,清,纵122.7，横63.9 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4055-A-1.JPG
393,清袁江海上三山图轴,清,纵41，横57 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4157-A-1.JPG
394,现代陈师曾峡山图轴,现代,纵134，横33.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4299-A-1.JPG
395,明张瑞图草书轴,明,纵193.2，横47 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4340-A-1.JPG
396,无标题,无年代,无尺寸,无简介,无图片
397,清邓廷桢书赠林则徐篆书轴,清,纵139.2，横54.4 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4379-A-1.JPG
398,明卞文瑜仿古山水图册,明,纵22，横30.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2021/05/06/162028652091732000001-7——4569-D-1.JPG
399,清王翚仿古山水图册,清,纵30.7，横47.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/water/2019/10/24/32000001-7：4576-D-1.JPG
400,无标题,无年代,无尺寸,无简介,无图片
401,无标题,无年代,无尺寸,无简介,无图片
402,无标题,无年代,无尺寸,无简介,无图片
403,无标题,无年代,无尺寸,无简介,无图片
404,无标题,无年代,无尺寸,无简介,无图片
405,明洪武釉里红三友带盖瓷梅瓶,明洪武,"口径6.4,足径13.5,瓶高35.8,腹深35.3,通高41.6,最大腹径68.4 厘米","系永乐帝女安成公主之陪葬品。瓶浅足沙底,盖成铎形，釉质细腻，釉里红发色欠佳,窑变黑色，瓶身装饰有七组图案组成，颈上蕉叶纹，肩部纹饰三道(如意云、卷草、缠枝菊花)正中以岁寒三友图为主题,夹饰芭蕉、山石,花卉。其下绘波涛海水纹,胫部仰莲一周。",https://www.njmuseum.com/files/nb/collection/modify/2019/10/25/32000001-10：2259-A-1.png
406,陈之佛 茶梅欢禽,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,27.4cm×31cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/2f64d955-f1ba-48fa-852c-f3e98c1f93c4.png
407,陈之佛 桃花,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,57.6cm×23.8cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999：0001.png
408,陈之佛 双飞雁,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,74.6cm×51.5cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999：0002.png
409,陈之佛 红柿小鸟,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,44.9cm×38.6cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999 ：0003.png
410,陈之佛 花荫觅食,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,72cm×36.8cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999 ：0004.png
411,陈之佛 茶花,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,20cm×26.5cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999：0005.png
412,陈之佛 飞鸟迎春,陈之佛先生珍贵的画稿和粉本作品，以期展示作者独具特色的创作习惯、创作技法和创作轨迹，体现出陈之佛先生对待作品、对待艺术勤勉认真、兢兢业业的态度，而这些对我们后来者来说，无疑具有启迪学习的效用。,53.8cm×64.9cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/10/30/99999 ：0006.png
413,黄宾虹 李白诗意图轴,轴 纸本  墨笔,纵76.8  横32.7 厘米,题署,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576485764787李白诗意图-2.jpg
414,傅抱石 对牛弹琴图轴,轴  设色  纸本,纵84.9厘米  横57.9厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576485493289008(7888)傅抱石《对牛弹琴》.jpg
415,傅抱石 楚辞山鬼图轴,轴  设色  纸本,纵163厘米  横82.8厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576485260569山鬼--1946年---南京博物院.jpg
416,傅抱石 山行遇雨图轴,轴  设色纸本,纵181.8厘米  横68.7厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576486243536山行遇雨（1949）南京博物院.jpg
417,傅抱石 山岩观瀑图轴,轴  设色  纸本,纵51.4厘米  横64.3厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576486682867听瀑图--1945年--南京博物院.jpg
418,傅抱石 暮雨僧归图轴,轴  设色  纸本,纵103.5厘米  横59.4厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/16/1576486881305潇潇暮雨（1945）-南京博物院.jpg
419,水晶带钩,西汉,通长5.8厘米，高2.2厘米,刘非墓出土。带钩由整块优质纯净的水晶雕刻而成，通体晶莹透亮，打磨光滑。由于水晶制品原材料的获取与加工不易，因此考古发现的西汉水晶带钩极少，同类器物仅在徐州龟山楚王陵等极个别高等级墓葬中出土过。,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743403628503D1.jpg
420,银璧,刘非墓出土。银璧外周、穿孔沿边刻有边栏线，栏内两面均饰云气纹，依据出土时镶嵌的方位，可辨别出正面、反面。银璧正面表现翻腾的流云，其间饰有神态各异、取自现实的动物纹饰。它们或匍匐，或攀爬，或嬉戏，或奔走，有类似奔走的虎、蹲坐的狼，亦有四蹄悬空的奔鹿，另有一张牙舞爪的尖喙鸟首人身像。鸟首人身像衣服右衽，而另两只伏兽颈部还保留有人工豢养的项圈。银璧反面饰有与流云纹合体的云龙形象，龙首近银璧外周栏线，引首向上，龙爪、尾部简化于流云纹中，极难辨别。银璧镶嵌于编钟梁架的上方正中，刻工精细，它与刘非墓同出的其他五件银璧和插在鎏金镂空云龙饰上的“翣”一起，凸显出装饰在编钟、编磬上的“璧翣”的重要礼制地位。,厚0.35厘米，外径14.2厘米，内径4.7厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743423015307.jpg
421,雁足灯,刘非墓出土。铜雁足灯有两个灯盘，均近似圆形，浅盘，直壁，细长柄身，雁足状底座。盘壁外侧刻有铭文“江都宦者容□升半升重十斤十二两”。考古资料显示，铜雁足灯共出土十余件，主要见于汉代高等级墓葬。1980年江苏扬州东汉广陵王墓曾出土过一件铜雁足灯，其口沿处刻有铭文“山阳邸铜雁足长镫建武廿八年造比十七”，为“雁足灯”的定名提供了实证依据。,通高22.8厘米，盘高2.2厘米，盘径12.8厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743663061206.jpg
422,铜五枝灯,刘非墓出土。铜灯一组两件，出土时灯盘、灯枝因倒塌略有分离，修复后基本完整。五枝灯由灯盘、灯枝、灯座三部分组成。灯盘平面呈圆形，圜底。灯枝饰竹节纹，顶头套灯盘。灯座为蟾蜍造型，蜍身扁平，四足蹲踞，头部饰两角，背面正中设一銎。考古资料表明，铜质多枝灯并不多见，目前公开资料中有记载的仅十余件，此件铜五枝灯为首次发现，极具研究价值。五枝灯造型简洁优美，灯盘错落，分层放置，点燃后灯火交相辉映，有如花树，极为奢华。《西京杂记》记载：“高祖初入咸阳宫，周行府库，金玉珍宝，不可称言。其尤惊异者，有青玉五枝灯。灯高七尺五寸。作蟠螭，以口衔环，灯燃，鳞甲皆动，焕炳若列星而盈室焉。”,通高60.8厘米，盘高2.5厘米，盘径9.3厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743766290104.jpg
423,错金银铜虎,刘非墓出土。铜虎一组两件，基本保存完整。整体模铸，比例协调，极具写实性。虎昂首瞠目， 威猛雄健，眼珠镶以黑色矿料，通体以错金银工艺饰虎斑纹。虎在中国古代社会一直被视为兽中之王，虎的形象在汉代壁画、画像石及各类出土器物中均有体现，但内涵各不相同。一方面， 虎与青龙、朱雀、玄武共同构成四神形象，在象征方位的同时，更多发挥辟邪功能；另一方面，它的写实造型常被用于铜镇、铜帐座等日常生活用品，与现实生活紧密相连。刘非墓出土的两件铜虎造型精美，装饰奢华，极可能为其生前喜爱之物。刘非本人极为尚武，这两件铜虎展现出的王者之气恰与其性格高度契合。,长43.7厘米，宽10.6厘米，高20.7厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743805976309.jpg
424,银盆,刘非墓共出土银盆四件，尺寸不一，套叠放置于陶罐之上。这件银盆体量最大，为斜折沿，束颈，鼓腹，圜底。口沿背面刻有铭文“食官容五升重十五两十五朱”，上腹部单刻一处铭文“廿”。据《汉书·百官公卿表》，“食官”有二：一为奉常属官“诸庙寝园食官令长丞”，负责寝园内的祭祀用品；二为詹事属官之食官令长丞，负责诸侯王等人的膳食。这件刻有“食官”的银盆，应归江都国内侍奉江都王膳食的食官所负责。,高6.7厘米，口径18厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2019/12/27/157743835998508.jpg
425,鼠纹陶瓦当,战国,长13.7厘米 宽7.2厘米 高11.6厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/01/17/15792284858852020鼠年鼠展正文2020.1.7_页面_047_图像_0001.jpg
426,鼠首人身生肖陶俑,晚唐,高22.2厘米,着方领大袖服，两手平交于胸，两膝作盘坐状,https://www.njmuseum.com/files/nb/collection/modify/2020/01/17/15792307424312020鼠年鼠展正文2020.1.7_页面_059_图像_0001.jpg
427,十二生肖压胜钱,清 同治,直径7厘米,十二生肖，丰富了人们的精神生活。民间造型艺术，常常将这十二种动物组合在一起，通过木刻、剪纸、刺绣等形式表现出来。古代铜钱外圆内方，中间即谓“孔方”。明清时期，人们将“十二生肖”和十二地支的对应铸在铜钱上，用于佩戴，称作“压胜钱”，趋吉避邪。,https://www.njmuseum.com/files/nb/collection/modify/2020/01/17/15792308862422020鼠年鼠展正文2020.1.7_页面_067_图像_0001.jpg
428,波夷罗药叉大将铜像,无年代,高19厘米 座纵11.7厘米 座横16.2厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/01/17/15792433122412020鼠年鼠展正文2020.1.7_页面_089_图像_0001.jpg
429,新石器时代彩陶花叶纹扁腹钵,1976年江苏邳县大墩子遗址出土。,口径14厘米，高9.4厘米,泥质红陶，敛口、短颈、广肩、扁腹，腹下作内弧收，至小平底，上腹部以白、赭、褐三色绘三角形，圆形弧线及点组成几何纹好似花叶。,https://www.njmuseum.com/files/nb/collection/modify/2020/05/26/159048178802504彩陶花叶纹扁腹钵.png
430,无标题,无年代,无尺寸,无简介,无图片
431,无标题,无年代,无尺寸,无简介,无图片
432,“广陵王玺”金印,"1981年江苏邗江甘泉山出土。印体方形，上立龟钮,印面阴刻篆文“广陵王玺”四字，字体端庄凝重，刀法遒劲老陈。",印面长2.372厘米，宽2.375厘米，通高2.121厘米，重122.87克,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/15/1592205313069金印20200615.png
433,唐三彩双鱼瓶,唐,腹径11.2厘米，高23厘米,1975年江苏扬州扫垢山遗址出土。淡红色胎，釉色鲜艳，与中原地区三彩器的稳重浑厚有明显不同，是南方三彩器的特征，以水生动物为造型。此瓶塑成腹部相对的双鱼形，鱼口即瓶口，双脊即为双系，尾部制成瓶底，鱼目、鱼鳞、鱼鳍一应俱全，表面挂有绿、黄、褐三色釉，三色互相浸润交融。,https://www.njmuseum.com/files/nb/collection/modify/2020/06/11/159186652027922三彩陶双鱼瓶.png
434,玉发冠,江苏苏州灵岩山毕沅墓出土。,高6.5厘米，长9.5厘米，宽6厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/15/159221162922631玉发冠.png
435,"""闻宣造""镀金团花八棱银盒",1959年江苏吴县吕师孟墓出土。锤鍱錾刻而成。腹外壁錾刻四十八朵缠枝花卉。器口承一浅盘，盘心线刻双凤盘翔图。纹饰处皆鎏金。,高8.9厘米，腹径24.8厘米，底径17.5厘米，重776克,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/16/159229269979622“闻宣造”镀金团花八棱银盒01.png
436,无标题,无年代,无尺寸,无简介,无图片
437,金凤冠,江苏丰县大沙河镇李卫墓出土。,高13厘米,凤冠为李卫夫人佩戴之物。冠上装饰有二龙戏珠、凤纹、海涛纹等纹饰和“奉天诰命”四字字牌，镶嵌有碧玺等宝石，制作工艺精湛，富丽堂皇，为清代金银器代表作品之一。,https://www.njmuseum.com/files/nb/collection/modify/2020/06/16/159229819295430金凤冠.png
438,彩陶器座,1976年江苏邳县大墩子遗址出土,口径19厘米，高24.1厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/22/159281126955306彩陶器座.png
439,镂空红陶器,1989年江苏新沂花厅出土,口径21.5厘米，高33.2厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/06/22/159281145234507镂空红陶器.png
440,江豚形陶壶,1960年江苏吴江梅堰遗址出土。,长32.4厘米，高11.7厘米,新石器时代良渚文化。,https://www.njmuseum.com/files/nb/collection/modify/2020/06/22/159281162303309灰陶豚形壶.png
441,无标题,无年代,无尺寸,无简介,无图片
442,Bronze Weight of 9 Jin,"Copper Weight of 9 Jin, Qin Dynasty","Height: 6 cm, Width: 9.1 cm","Height: 6 cm, Width: 9.1 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942569495651.png
443,Iron and Stone Weight,"Iron and Stone Weight, Qin Dynasty","Height: 17.9 cm, Bottom Diameter: 24.8 cm","Height: 17.9 cm, Bottom Diameter: 24.8 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942572201692.png
444,Bronze Weight Regulator,"Copper Weight Regulator, Qin Dynasty","Length: 23.1 cm, Width: 10.8 cm, Height: 5.2 cm","Length: 23.1 cm, Width: 10.8 cm, Height: 5.2 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942573180593.png
445,Bronze Plate Volume Regulator,"Copper Plate Volume Regulator and Seal, Eastern Han Dynasty","Length: 15.7 cm, Mouth Diameter: 4-4.5 cm, Bottom Diameter: 2.9 cm, Depth: 2.2 cm","Length: 15.7 cm, Mouth Diameter: 4-4.5 cm, Bottom Diameter: 2.9 cm, Depth: 2.2 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942574171324.png
446,Golden yingyuan (currency of Chu State during the Warring States Period),"Gold Yingyuan, Warring States Period","Maximum Depth: 6 cm, Maximum Width: 7.1 cm","Maximum Depth: 6 cm, Maximum Width: 7.1 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942575210625.png
447,Cake-shaped Gold Piece,"Cake-shaped Gold Piece, Early Western Han Dynasty",Diameter: 6.4 cm,Diameter: 6.4 cm,https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942576073086.png
448,Horseshoe-shaped Gold Pieces,"Horseshoe-shaped Gold Pieces, Early Western Han Dynasty","Length: 5.5 cm, Width: 7.2 cm, Height (at the highest point): 3.4 cm","Length: 5.5 cm, Width: 7.2 cm, Height (at the highest point): 3.4 cm",https://www.njmuseum.com/files/nb/collection/modify/2020/07/09/15942577217987.png
449,清乾隆芙蓉石蟠螭耳盖炉,此盖炉为粉红色，通体布满长短不一、大小相同的天然纹理，造型古拙敦厚，雕琢精细。腹部雕饰对称两组蟠螭和铺首衔环耳，盖顶也雕饰四条小蟠螭。,通高17厘米，口径14.9厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/21/159799827271836芙蓉石炉.jpg
450,无标题,无年代,无尺寸,无简介,无图片
451,无标题,无年代,无尺寸,无简介,无图片
452,无标题,无年代,无尺寸,无简介,无图片
453,无标题,无年代,无尺寸,无简介,无图片
454,清雍正黄釉瓷盘,清雍正,高4.2，口径25，底径12.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：1.jpg
455,清康熙青花缠枝莲纹瓷盘,清康熙,高3.1，口径15.3，底径9.1 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：36.jpg
456,清雍正黄釉暗刻折枝花卉纹瓷盘,清雍正,高4.3，口径20.7，底径13.2 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：51.jpg
457,无标题,无年代,无尺寸,无简介,无图片
458,清康熙青花缠枝花卉纹瓷碗,清康熙,"高6,7，口径13，底径5.4 厘米",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：82.jpg
459,清康熙青花缠枝莲纹瓷碗,清康熙,高6.8，口径12.3，底径5.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：95.jpg
460,清乾隆茄皮紫釉暗刻龙纹瓷碗,清乾隆,高7.1，口径15.1，底径5.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：205.jpg
461,清乾隆青花莲托八宝纹四足盉,清乾隆,高21.5，口径11.9，腹径15.5  厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：240／1-2.jpg
462,清乾隆黄釉瓷碗,清乾隆,高8，口径18.5，底径7.6 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：246.jpg
463,清雍正祭红釉瓷盘,清雍正,高4.8，口径27，底径13.5 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/31\2.0：264.jpg
464,商花土,土上印有以雷纹组成的虎形花纹，头部已破残，身和尾部花纹仍很整齐，塗朱色彩鲜艳如新。此为漆木器遗痕。原系木器，表面雕饰图画，画上塗硃漆，亦镶嵌有骨，蚌饰品。随葬入坑，经过夯打，几千年后，木质腐朽，而夯打在泥土上的痕迹都保存下来。,高41.3，宽112.8 厘米,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/08/15995531320471：539-A-01.jpg
465,竹林七贤与荣启期砖画,南朝,一组高78厘米，长242.5厘米，二组高78厘米，长241.5厘米,江苏南京西善桥宫山大墓出土,https://www.njmuseum.com/files/nb/collection/modify/2020/09/08/1599555203297竹林七贤.jpg
466,陈之佛 梅雀图,轴  纸本 设色,65cmХ38cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/14/160007055276801.jpg
467,陈之佛 寒月双栖,轴 纸本 设色,86cmХ39cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/14/160007181894002.jpg
468,Finless-porpoise-shaped Grey Pottery,"Unearthed at Meiyan Site, Wujiang City, Jiangsu Province, 1960","Height 11.7 cm, Length 32.4 cm",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/15/16001340495481.png
469,Bronze Spade (Dustpan),"Unearthed at the pass at Poshan, Yizheng City, Jiangsu Province, 1930","Length 70 cm, Width 25.5 cm",无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/09/15/16001342862361.JPG
470,无标题,无年代,无尺寸,无简介,无图片
471,Censer of Rose Quartz,无年代,Height 17 cm,无简介,https://www.njmuseum.com/files/nb/collection/modify/2020/08/21/159799827271836芙蓉石炉.jpg
