名称,年代,规格,简介,图片url
-【清】张庚《仿北苑夏山图轴》-,清,内纵 78.5厘米 横87厘米,"张庚（1685 － 1760年)、原名焘，字博三、长庚，改名字后字公之千，号浦山，自号瓜田逸史，晚号弥伽居士，又称白苎村桑者,浙江嘉兴人。张庚最大的成就在于画论和画史研究,其《浦山论画》强调绘画要讲求气韵、笔墨情趣,重抒情，对后人绘画创作甚有影响。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081614057CPvwl.jpg
-【明】沈周《行书五律诗轴》-,明,内纵 129.3 厘米 横 29.5 厘米,"沈周（1427 - 1509 年)，字启南，号石田，晚号白石翁，长洲（今江苏苏州）人。少承家学，其山水画受“元四家”中黄公望、吴镇的影响最大,晚年专攻吴镇，形成苍老、雄健和用墨圆润的特点。其画有粗笔和细笔两种，名之为“粗沈”和“细沈”。同时亦擅画水墨花鸟和杂画。他在当时已享有盛名，据说其画“片缣朝出，午已有副本”。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309131035m6LqsT.jpg
-【明】倪元璐《行书五律金面扇页》-,明,内高 16 厘米 长 50.7 厘米,倪元璐（1593—1644），字玉汝，号鸿宝，浙江上虞人。明天启二年(1622年)进士。历官翰林院编修、侍讲、国子祭酒、兵部右侍郎、户部尚书兼翰林学士。崇祯末年，李自成攻陷京师时自缢死。清谥“文贞”。能诗文，工书画。其书笔致刚毅劲拔，郁勃而有气概。著《倪文贞集》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309142825hUoOh4.jpg
-【清】王礼《琵琶仕女图轴》-,清,内纵 114.3 厘米 横30 厘米,王礼（1813 － 1879年)，字秋言，号秋道人，江苏吴江人，居住上海甚久。曾从师苏州沈荣学写意花鸟，具有一种隽逸超脱之气。值得一提的是王礼写意花鸟之作，风格劲秀洒落，格调清新，对任伯年写意花鸟风格之形成影响很大。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309110617sziBmZ.jpg
-【明末清初】王翚《仿范宽山水轴》-,明末清初,内纵 33.1 厘米 横 39.3 厘米,王翚（1632 － 1717年)，字石谷，号鸟目山人、耕烟散人，江苏常熟人。王时敏、王鉴弟子。善画山水，曾奉召主绘《南巡图》而颇受康熙帝赏识。其弟子有杨晋、顾昉、蔡嘉、上睿等，世称“虞山派”。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308143244snq8pZ.jpg
-【明】陆治《唐人诗意山水册》-,明,内纵27.6厘米、横26.3厘米,此册凡十二开，每开以唐人诗一联命题作画，或山水，或人物，或禽鸟，又能秋夏春冬，随意置景。用笔苍健，用色明润，能不拘滞于师法，不纵谑于胸意，取舍中个性自见，是陆氏六十一岁时的杰作。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308102412A5UBXD.jpg
-【明末清初】王原祁 《仿梅道人秋山图轴》-,明末清初,内纵87.6厘米 横58.5厘米,王原祁（1642－1715 年），字茂京，号麓台，又号石师道人，江苏太仓人。王时敏之孙。康熙九年（1670 年）进士，供奉内廷，官至户部侍郎，人称王司农。登第后，专心学画。善画山水，宗法黄公望，用笔沉着，功力浑厚。亦工诗文，精鉴古今名画。与王时敏并称为“娄东派”，为清初六大家之一。著有《雨窗漫笔》《扫花庵题跋》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308160035soXkZz.jpg
-【清】奚冈 《陂塘秋水图轴》-,清,内纵138.8厘米 横69厘米,奚冈（1746 － 1803 年)，字铁生，号蒙泉外史、鹤渚生，钱塘（今浙江杭州）人。工诗书，精篆刻，善画山水、花卉。作品有《岩居秋爽图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308164254MtCU41.jpg
- 【清】陈豫钟《五言篆书联》-,清,内纵 67.2 厘米 横 14.8 厘米,"陈豫钟（1762 - 1806 年)，字浚仪，号秋堂，钱塘（今浙江杭州）人。书法家、篆刻家，“西泠八家”之一。收藏书画、古砚，擅画兰竹。他还癖好金石文字,又精于墨拓,收集拓本数百种。著有《古今画人传》、《求是斋集》、《求是斋印集》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309145854QWZ2mn.jpg
-【明末清初】龚贤《墨笔山水册》(节选）-,明末清初,内纵 28.2 厘米 横35.9 厘米,龚贤（1618 － 1689年)，又名岂贤，字半千，号半亩，又号柴大人，江苏昆山人，流寓金陵。工诗文，善画山水，后世称为“金陵八家”之首。著有《画诀》、《香草堂集》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308141806Xckoo7.jpg
-【明】陈洪绶、胡华鬟 《山水梅花合册》（节选)-,明,内纵21厘米、横19.9厘米,陈洪绶（1598 - 1652 年)，字章侯，号老莲，浙江诸暨人。书法遒逸，善山水、花鸟、草虫，尤工人物，与崔子忠齐名，号“南陈北崔”。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308134320dMlwF4.jpg
-【明】濮桓《芝石图轴》-,明,内纵137.2厘米、横48.4厘米,濮桓。资料阙如。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308133959zX5v4p.jpg
-【明】唐寅《行书七律轴》-,明,内纵 146.5 厘米 横 36.2 厘米,"唐寅（1470 － 1523 年)，字伯虎，一字子畏，别号六如居士、桃花庵主,吴县(今江苏苏州)人。弘治十一年(1498年）应天府乡试第一，翌年因受科场案牵连，不入仕途。自称“江南第一风流才子”。工书画诗文。画长于山水，兼精人物,初师事沈周,上承李成、李唐以及赵孟頫、王蒙诸家,而自出新意，在明四家中声名尤著。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309134130KeOVxo.jpg
-【清】方士庶 《野云晚濑图轴》-,清,内纵 136.3厘米 横 62.8厘米,方士庶（1692 - 1751年)，字循远，号环山、小师道人。山水受学于黄鼎，落笔苍秀。凡其得意佳作，皆钤“偶然拾得”四字小印。亦工诗。作品有《椿萱芝桂图轴》、《北山古屋图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308163118CAckEs.jpg
-【清】边寿民《芦雁册》(节选)-,清,内纵 24.1厘米 横 30.8厘米,"边寿民（1684 — 1752年)，原名维祺，字颐公，又字渐僧，号苇间居士，江苏淮安人。秀才。初贫困，以授徒为业,中年画名四扬,云游各地,晚年来往于淮安、扬州地区,和华嵒、郑燮等人时相交往。擅长画芦雁和写意花卉，尤以芦雁著称。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308161206NROmpS.jpg
-【明】文徵明《行书七律二首轴》-,明,内纵143.2 厘米 横 48.5 厘米,文徵明（1470 － 1559年)，初名壁，字徵明，后改字徵仲，号衡山居士，长洲（今江苏苏州）人。曾任翰林院待诏。习诗文于吴宽，学书于李应祯，画则师从沈周。工书法，尤精绘画，与沈周齐名，画史并尊为吴派宗师，为明四家之一。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309131909IHckcb.jpg
-【明】祝允明 《滕王阁序诗卷》-,明,内纵 842.6 厘米 横 32.9 厘米,祝允明（1460 — 1526年)，字希哲，号枝山，世称“祝京兆”，长洲（今江苏苏州）人。弘治五年（1492年）举人，授兴宁令迁应天府通判。与唐寅、文徵明、徐祯卿并称“吴中四子”。能诗文，工书，颇负时誉。小楷学钟繇、王羲之，狂草师承怀素、黄庭坚，劲健豪放，又能出入变化，自成一家。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103091317355rG01U.jpg
-【明末清初】原济《六君子图轴》-,明末清初,内纵 74.7厘米 横32.2 厘米,"原济（1641－1724年，一作1630-？年)。字石涛，俗姓朱。名若极，广西全州人，明朝宗室后裔。剃发为僧，法名原济。小字阿长,号大涂子,清湘老人,清湘遗人,石干、石子干、瞎筹者、零丁老人、苦瓜和6等。擅长花卉、蔬果、兰竹，兼工人物尤善山水。笔墨奇雄纵恣,布局新颖,纵目变化,不拘一格。大江以南推为第一。作品有《山窗研读图轴》、《诗画册》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308150236sWn4CY.jpg
-【明末清初】黄向坚《万里寻亲图轴》-,明末清初,内纵 128.5厘米 横42.5 厘米,黄向坚（1609 - 1673 年)，字端木，江苏苏州人。继承吴派之笔墨传统，各种皴法、墨法与真实的写生对象获得完美统一，故画面具有极强的说服力，于艺林独标千秋，开拓和丰富了当时的中国画坛。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081416335A4wMn.jpg
-【清】梁同书《行书七言联》-,清,内纵 127.3 厘米 横 29.5 厘米,"梁同书(1723－1815年),字元颖,号山舟，晚年自号不翁，钱塘（今浙江杭州)人。其父是大学士梁诗正。梁同书于乾隆十二年(1747年)中举人,十七年特赐进士,官侍讲。与刘墉、翁方纲、王文治并称“清四大家”。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309145221zeaNhx.jpg
-【明】钱贡《福源寺图卷》(节选)-,明,内纵33.2厘米、横1050厘米,钱贡，生卒年不详。字禹方，号沧洲，江苏苏州人。善画山水、人物，文徵明弟子。山水出入于文徵明，位置适宜，颇有可观。尤长人物，继承唐寅画法，有仿唐寅人物大幅，几能乱真。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308135401aK6lmm.jpg
-【清】铁保《七言行书联》-,清,内纵 116.8 厘米 横 28.4 厘米,"铁保（1752 － 1824年)，字冶亭，号梅庵,满洲正黄旗人，清代书法家。铁保喜诗，主张“气体深厚”，反对“极力雕琢”。素善书法，造诣很深。有《惟清斋全集》传世。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202103091457332NG9V1.jpg
-【清】张培敦《玉溪梦隐图》-,清,内纵 26.8 厘米横 147.4 厘米,"张培敦（1772 - 1846 年)，字砚樵，吴县（今江苏苏州）人。精鉴藏，工书，善画山水，间作写生，师法文徵明,笔法秀韵。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308164803sWn7Wh.jpg
-【清】尤求白描饮中八仙图卷（白描)-,清,纵31.4厘米 横228.9厘米,此图运用白描画法，取材唐杜甫《饮中八仙歌》诗意，画李白、张旭等八人的醉酒故事，用笔圆润挺秀，衣纹流畅。画中的策骑、饮酒、品香、酣睡等场面，均用简单的线条勾勒出人物的面目，神情刻画入微，形象生动，画法精工。土坡、假山则用笔浑厚，皴染得法。不仅从作品中，还是从文献记载都可以看出，“饮中八仙”亦可谓“香中八仙”。 尤求，生卒年不详，约活动于明嘉靖至万历年间。字子求，号凤山，长洲（今江苏苏州）人，移居太仓。工写山水，兼及人物，学南宋刘松年、元钱舜举，又善仕女画。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_84.jpg
-【明】顾凝远《吴中名胜十景图册》（节选）-,明,内纵30.5厘米、横52.2厘米,顾凝远（1580－1645年），号青霞，江苏苏州人。善画，精于画理，有《画引》传世。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308132658y93YOM.jpg
-【明末清初】原济《广陵茱萸湾图扇页》-,明末清初,内高18.2厘米 长 54.2 厘米,"原济（1641－ 1724 年，一作 1630 -？年)，字石涛，俗姓朱，名若极，广西全州人，明朝宗室后裔。剃发为僧,法名原济，小字阿长，号大涤子、清湘老人、清湘遗人、石干、石子干、瞎尊者、零丁老人、苦瓜和尚等。擅长花卉、蔬果、兰竹，兼工人物，尤善山水。笔墨奇雄纵恣，布局新颖，纵横变化，不拘一格，大江以南推为第一。作品有《山窗研读图轴》、《诗画册》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308145543Nvgx9w.jpg
-【明】李流芳《仿宋元各家山水轴》（节选）-,明,内纵28.2厘米、横35.8厘米,李流芳（1575 －1629年），字长蘅，号泡庵、慎娱居士，上海嘉定人。万历举人。文学家、画家。与唐时升、娄坚、程嘉燧合称“嘉定四先生”。著有《檀园集》《西湖卧游图题跋》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308132411116i7a.jpg
-【清】陆远 《仿子久溪山秋霭图轴》-,清,内纵 66.7 厘米横41.5厘米,陆远，生卒年不详，字静致。善山水，宗法朱氏。烟岚浮动，风格秀润。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081657584O5Hby.jpg
-【明】文彭、文嘉合作 《草书卢仝饮茶诗、为壶梁作山水卷》-,明,内画纵29.8厘米、横114.3厘米,文彭（1498－1573年），字寿承，号三桥，别号渔阳、三桥居士、国子先生，长洲（今江苏苏州）人。文徵明长子，书画家，篆刻家。授秀水训导，官至国子监博士。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308105125L7MMVq.jpg
-【明末清初】王时敏《山水轴》-,明末清初,内纵 101.7 厘米 横42.7 厘米,王时敏（1592 — 1680 年)，字逊之，号烟客，又号西庐老人，江苏太仓人。与王鉴、王翚、王原祁合称“四王”，偕吴历、恽寿平合称“清六家”。工诗文，善书，尤善画山水，著有《王烟客集》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202105121309415Z4mgy.jpg
-【明】万寿祺 《树石图金面扇页》-,明,内纵16.2厘米 横51.7 厘米,万寿祺（1603 － 1652年)，字年少，又字介若，世称年少先生，江苏徐州人。与陈子龙乡试同年，与阎尔梅是同乡。曾参加抗清活动，兵败后隐居江淮一带。代表作有《秋江别思图》、《松石图》、《山水图》等等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308140632aZFwgS.jpg
-【明】陈祼《野屋寒水图扇页》-,明,内纵16.8厘米、横51.7厘米,陈祼（1563－约1639年），初名瓒，字叔祼，号道樗，吴县（今江苏苏州）人。山水远宗赵伯驹、赵孟頫，近师文徵明，摹古笔法逼肖，笔法严谨。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081135333Y2w6f.jpg
-【明】文徵明《小楷落花诗卷》-,明,内纵 14.5 厘米横 193.3 厘米,"文徵明（1470 －1559年)，初名壁，字徵明，后改字徵仲,号衡山居士，长洲（今江苏苏州）人。曾任翰林院待诏。习诗文于吴宽，学书于李应祯，画则师从沈周。工书法，尤精绘画,与沈周齐名,画史并尊为吴派宗师,为明四家之一。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309133012UNO0nR.jpg
-【明】范允临《行书五言绝句轴》-,明,内纵 131.1 厘米 横 25.8 厘米,"范允临（1558 － 1641年)，字长倩，吴县（今江苏苏州）人。范仲淹十七世孙。万历二十三年（1595年）进士,官至福建参议。还乡后筑室天平山南麓，即今之高义园。工书，与董其昌齐名。",https://file.szmuseum.com/WaterMark/文章管理缩略图/202103091408129qsPl5.jpg
-【明】张弼 《草书册》-,明,内纵 29.9厘米 横16 厘米,张弼（1425 - 1487年)，字汝弼，晚号东海翁，上海松江人。成化二年（1466年）进士。官至安南知府。弼善诗文，作诗信手纵笔，多不属稿。精草书，书学狂草大师张旭、怀素。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309130616ceXiv1.jpg
-【清】钱沣《行书欧阳公常建李欣诗句轴》-,清,内纵 46.4 厘米 横 97.3 厘米,钱沣（1740 — 1795 年)，字东注、约甫，号南园。乾隆三十六年（1771年）进士，官至通政司副使、提督湖南学政。其文苍古雄健，书法颜真卿，行草自成一家。画马尤为著名，神俊形肖。作品有《三马图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103091454331MM2A8.jpg
-【明】祝允明《行草九愍等诗卷》-,明,内纵 23.7 厘米 横 176.3 厘米,祝允明（1460 — 1526年)，字希哲，号枝山，世称“祝京兆”，长洲（今江苏苏州）人。弘治五年（1492年）举人，授兴宁令迁应天府通判。与唐寅、文徵明、徐祯卿并称“吴中四子”。能诗文，工书，颇负时誉。小楷学钟繇、王羲之，狂草师承怀素、黄庭坚，劲健豪放，又能出入变化，自成一家。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103091314263ydiiS.jpg
-【明】文伯仁《石湖草堂图卷》-,明,内纵25.8厘米、横142.4厘米,文伯仁（1502－1575年），字德承，号五峰山人，长洲（今江苏苏州）人。文徵明侄子。擅长山水、人物，能传家法，参以王蒙，笔墨细劲缜密，有独得之妙。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308111651bzIlh0.jpg
-【清】任薰赏雪图-,清,外:纵50厘米横142厘米,该画描绘的是文人焚香赏雪的高雅情趣。 任薰（1835—1893），字舜琴，又字阜长。浙江萧山（今杭州）人。少丧父，从兄学画，青年时在宁波卖画为生，1868年与任颐去苏州，后寓居苏州、上海。任颐、任预均从其习画。任薰治学严谨，在写生、临摹上均下了苦功。兼工人物、花鸟、山水、肖像、仕女，画法博采众长，面貌多样，富有新意。与顾文彬子顾承相友善，曾为设计怡园。1888年五十四岁时双目失明，后病卒于苏州。与任熊、任颐时称“三任”，合任预为“四任”，并为海上画派代表画家之一。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_91.jpg
-【清】清人仿钱选萧翼赚兰亭卷-,清,纵25.3厘米 横97.1厘米,此清人仿钱选绘《萧翼赚兰亭图卷》，原作现藏美国布鲁克林博物馆。此幅取材自唐代的历史故事，描写监察御史萧翼奉唐太宗之命，巧取辩才和尚手中的王羲之书法名品——《兰亭序》一事。画面有五位人物，中间坐着一位和尚即辨才，对面为萧翼，左下有二人焚香煮茶。画面上，机智而狡猾的萧翼和疑虑为难的辨才和尚，神态维妙维肖。（顾公硕捐赠）,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_92.jpg
-【明】钱穀《摹吴镇、倪云林山水卷》-,明,内纵31.5厘米、横148.5厘米,钱穀（1508 －1578年），字叔宝，号罄室、句吴逸民，自号罄室子，长洲（今江苏苏州）人。文徵明入室弟子。画名甚著，书、诗、文俱精妙。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308112357xorxsH.jpg
-【清】顾云为子谦琴心竹趣纨面扇页-,清,纵25.3厘米横25.3厘米,该扇面表现了文人焚香抚琴的高雅情趣。 顾法（1835—1896），字若波，号云壶、颂.墨、壶翁、病鹤，室名自在室。吴县（今江苏苏州）人。吴门画师中清季一流山水名家，其仿古称能，水墨丹青，小帧巨幅，皆得四家遗意，汲古功深，气格醇穆，观之怡然有山林之思。工山水，清丽疏古，气韵秀出，间作花卉、人物，近于新罗。光绪十四年（ 1888）游日本，遍览东京诸胜，所画一树一石皆备受赞赏。长期鬻画沪上。出版有《顾若波山水集册》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/香事清心_88.jpg
-【明】袁尚统《迎春图轴》-,明,内纵 121.8 厘米 横59.3厘米,"袁尚统（1590 - 1666年后，一作1570－？年)，字叔明，江苏苏州人。职业画师,当时不为人所重，故画史记载甚少。善画山水、人物、花鸟，山水苍润浑厚，意境宏远；喜绘风俗题材，重情节描写,富生活气息,人物多为普通百姓。笔墨超逸奔放，颇得宋人笔意，独具自家风格。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308135809vugjCF.jpg
-【明末清初】徐枋《草书七律轴》-,明末清初,内纵 151 厘米 横 69.6 厘米,徐枋(1622－1694年)，字昭法，号俟斋，又号秦馀山人，吴县（今江苏苏州）人。崇祯十五年（1642年）举人。重气节，由明入清后，在天平山麓筑涧上草堂，不入城市。工诗文，善书画，著有《居易堂集》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309143803IG7B3O.jpg
-【明】唐志契《门泊渔舟图轴》-,明,内纵132.3厘米、横46.1厘米,唐志契（1579-1651年），字敷五、玄生，江苏扬州人，一作海陵（今泰州）人。诸生。常游名山大川，经月坐卧其下，故画笔清远，有元人风致。著有《绘事微言》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308133848FsokTz.jpg
-【清】黄慎《群盲聚讼人物轴》-,清,內横67.3 厘米 宽87.2 厘米,黄慎（1687 － 1768 年)，字恭懋，号瘿瓢子，福建宁化人。“扬州八怪”之一，善画人物、花卉、蔬果。笔姿放纵，风格豪放。亦工诗、书。作品有《渔翁渔妇图轴》《携琴访友图轴》《柳塘双鹭图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308162652Zsld0j.jpg
-【明】孙克弘《墨竹图轴》-,明,内纵113厘米、横31.8厘米,孙克弘（1533－1611年），字允执，号雪居，上海松江人。擅楷、隶、篆等书体，取法宋克，上追秦汉，自成风格。其画早年长于写生花鸟，师法徐熙、赵昌、沈周、陆治。其作品或工笔，画法工整，色彩明丽；或写意，笔墨放逸，造型工致。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308112703Ci8HU9.jpg
-【清】高翔《临倪瓒竹树小山图扇页》-,清,内高 20 厘米 长 57.6厘米,"高翔（1688 — 1753年)，字凤冈，号西唐、樨堂。“扬州八怪”之一，精篆刻，工山水、花卉。画梅笔意松秀,枝千苍润,以疏枝瘦干取胜。山水笔法简淡而秀雅,喜作园林小景。作品有《弹指阁图轴》《折枝榴花图轴》《柿栗图轴》等。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308163015F4m2Xm.jpg
-【清】黄慎《八仙图轴》-,清,内纵 221.5 厘米 横161.7厘米,黄慎（1687－1768年)，字恭懋，号瘿瓢子、福建宁化人，“扬州八怪”之一。善画人物、花卉、蔬果。笔姿放纵，风格豪放。亦工诗、书。作品有《渔翁渔妇图轴》《携琴访友图轴》《柳塘双鹭图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081628129taWdP.jpg
-【明】丁云鹏《秋山远眺图轴》-,明,内纵129.2厘米、横33.6厘米,丁云鹏（1547－1628年），字南羽，号圣华居士，安徽休宁人。工画人物、佛像，尤精罗汉，得吴道子法。白描学李公麟，设色学钱选，以精工见长。兼工山水，取法文徵明。亦善花卉，能诗。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308113046BbeLz3.jpg
-【明末清初】王武《水仙湖石图轴》-,明末清初,内纵 122 厘米 横46.7厘米,王武（1632 －1690年)，字勤中，晚号雪颠道人，吴县（今江苏苏州）人。精鉴赏，富收藏。工画花鸟，其风格工整秀丽。作品有《松竹白头图轴》、《鸳鸯白鹭图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308144412hO4BKs.jpg
-【明】恽向《仿古山水册》-,明,内纵26.5厘米、横26.9厘米,恽向（1586－1655年），原名本初，字道生，后改名向，号香山翁，江苏常州人。擅诗文。山水初学董源、巨然，骨力圆劲，墨气淋漓。晚年学倪瓒、黄公望，用笔干枯而得山水雄浑之气，对画理颇有心得。著有《画旨》。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308135622cf8WM2.jpg
-【明】王鏊《草书七律轴》-,明,内纵 127.4 厘米 横 63.3 厘米,王鏊（1450 － 1524年)，字济之，别号守溪，学者称震泽先生，吴县（今江苏苏州）人。成化十一年（1475 年）进士，武宗时入阁，进户部尚书、文渊阁大学士加少保，改武英殿大学士，卒年七十五岁，赠太傅，谥文恪。著有《姑苏志》、《震泽编》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309131259giGTV3.jpg
-【明】项圣谟《山水兰竹图册》-,明,内纵 25.2 厘米横24.6 厘米,"项圣谟（1597 － 1658年)，初字逸，后字孔彰，号易庵，又号胥山樵。别号甚多，有松涛散仙、存存居土、烟波钓徒、狂吟客、鸳湖钓叟、逸叟、不夜楼中士等。浙江嘉兴人。出身世家,祖父项元汴,父项德新,都是著名的收藏家和书画家。幼承家学，工画善诗。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308135939QJ4vZR.jpg
-【明末清初】傅山《草书七绝轴》-,明末清初,内纵 187.8 厘米 横 51.4 厘米,傅山（1605 — 1684年)，字青主，号公之佗(它)。入清后，又名真山，号朱衣道人。工诗文篆刻、书法，善画山水、竹石。作品有《灵芝兰石图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309143053dSCnbW.jpg
-【清】李世倬《节写江贯道长江图》-,清,内纵 99.6厘米 横 50.2厘米,李世倬（1687-1770），字天章，号菉园、星厓，别号十石居士、丁卯客等，奉天（今辽宁沈阳）人。李如龙之子，高其佩外甥，官至副都御史。曾任太常寺卿，人称李太常。擅画山水、人物、花鸟、果品，各臻其妙。宗法纯正而笔亦秀隽。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309111123zIyU6b.jpg
-【明】伍瑞隆《墨牡丹图轴》-,明,内纵174.9厘米、横70.5厘米,伍瑞隆（1585－1668年），字国开，又字铁山，别署鸠艾山人。香山（今广东中山）榄溪人。工诗，善书画。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081334190b3ezz.jpg
-【明】李士达《西园雅集图卷》-,明,内纵25.8厘米、横140.5厘米,李士达，生卒年不详。号仰槐，吴县（今江苏苏州）人。万历二年（1574年）进士，以画人物、山水名世。寿至八十外。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308134717BJqKUt.jpg
-【明】尤求《白描饮中八仙图卷》-,明,内纵31.4厘米、横228.9厘米,尤求，生卒年不详，约活动于明嘉靖至万历年间。字子求，号凤山。长洲（今江苏苏州）人，移居太仓。工写山水，兼人物，学南宋刘松年、元钱舜举，又善仕女画。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308135034GSrG2A.jpg
-【清】翁同龢 《八言行书联》-,清,内纵 260.4 厘米 横 57.9 厘米,翁同龢（1830 - 1904年)，字叔平，号松禅，晚号瓶庵居士，江苏常熟人。咸丰六年（1856年）状元。同治、光绪帝的师傅，官至太子少保、户部尚书、协办大学士，补谥文恭。有《翁同龢日记》、《瓶庐诗文稿》。书法气息淳厚，堂宇宽博，有长者之风。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210309150305ZEdQpf.jpg
-【明】陆治 《溪山访友图轴》-,明,内纵32.2厘米、横43.5厘米,陆治（1496－1576年），字叔平，号包山子，江苏苏州人，居太湖包山。曾从祝允明、文徵明学习书画。山水用焦墨皴擦，风骨崚削。花鸟工笔、写意俱有生趣，点笔秀丽，敷色精妍，与陈淳、周之冕同为明代中后期花鸟三大家。有《包山遗稿》传世。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308100458TAtxQH.jpg
-【清】钱维城《五君子图轴》-,清,内纵 91.4 厘米 横 87.4 厘米,钱维城（1720 － 1772年)，字宗盘，号幼庵、稼轩、茶山。乾隆十年（1745 年）状元，官至刑部侍郎，供奉内廷，为画苑领袖。善画山水、花卉。作品有《松亭秋霭图轴》等。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308163558Yw8Obx.jpg
-【明】文徵明 《三绝图卷》-,明,内纵911.8厘米、横30.5厘米,文徵明（1470－1559年），初名壁，字徵明，后改字徵仲，号衡山居士，长洲（今江苏苏州）人。曾任翰林院待诏。习诗文于吴宽，学书于李应祯，画则师从沈周。工书法，尤精绘画，与沈周齐名，画史并尊为吴派宗师，为明四家之一。,https://file.szmuseum.com/WaterMark/文章管理缩略图/20210304170318SBoK6t.jpg
-【清】吴穀祥《深山水秀图卷》-,清,内纵 30.7 厘米横106.8 厘米,"吴穀祥(1848 －1903年)，字秋农,初字蓉甫，别号瓶山画隐,晚号秋圃老农,浙江嘉兴人.工山水并擅人物花卉,用笔苍劲，设色清丽。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308165433JsMBfO.jpg
-【明】王问《雪景山水轴》-,明,内纵187.4厘米、横95厘米,王问（1497－1576年），字子欲，学者称为仲山先生，江苏无锡人。嘉靖十七年（1538年）进士，授户部主事，擢广东按察佥事，未赴任。善诗文书画。,https://file.szmuseum.com/WaterMark/文章管理缩略图/202103081028385AOfwL.jpg
-【清】任预 《射雁图轴》-,清,内纵131.7厘米横 66.2厘米,"任预（1854 － 1901年,一作1853 － 1901年)，字立凡，号潇潇庵主人，浙江萧山人。任熊之子,随任薰、任颐学画，工人物、山水、花卉，画如其父。",https://file.szmuseum.com/WaterMark/文章管理缩略图/20210308165637NEujFe.jpg
